Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
mnh10,NA,mnh10_01813,1,1800,+,ybtQ,yersiniabactin ABC transporter ATP-binding/permease protein YbtQ,plus,VIRULENCE,VIRULENCE,NA,NA,BLASTX,600,600,100,99.33,600,AAC69584.1,yersiniabactin ABC transporter ATP-binding/permease protein YbtQ,NA,NA
mnh10,NA,mnh10_02766,1,858,+,blaSHV-28,broad-spectrum class A beta-lactamase SHV-28,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_004179754.1,broad-spectrum class A beta-lactamase SHV-28,NA,NA
mnh10,NA,mnh10_03581,1,1230,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,EXACTX,410,410,100,100,410,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh10,NA,mnh10_04673,1,417,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,EXACTX,139,139,100,100,139,WP_004146118.1,FosA5 family fosfomycin resistance glutathione transferase,NA,NA
mnh10,NA,mnh10_05234,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,EXACTX,300,300,100,100,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh10,NA,mnh10_05352,1,429,+,silE,silver-binding protein SilE,plus,STRESS,METAL,SILVER,SILVER,BLASTX,143,143,100,91.61,143,AAD11743.1,silver-binding protein SilE,NA,NA
mnh10,NA,mnh10_05353,1,1473,+,silS,copper/silver sensor histidine kinase SilS,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,491,491,100,100,491,SPD96882.1,copper/silver sensor histidine kinase SilS,NA,NA
mnh10,NA,mnh10_05354,1,678,+,silR,copper/silver response regulator transcription factor SilR,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,226,226,100,100,226,SPD96883.1,copper/silver response regulator transcription factor SilR,NA,NA
mnh10,NA,mnh10_05355,1,1383,+,silC,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,461,461,100,100,461,SPD96884.1,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,NA,NA
mnh10,NA,mnh10_05356,1,351,+,silF,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,117,117,100,99.15,117,KGL71342.1,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,NA,NA
mnh10,NA,mnh10_05357,1,1290,+,silB,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,430,430,100,97.67,430,AAD11748.1,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,NA,NA
mnh10,NA,mnh10_05358,1,3144,+,AMR,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,1048,1048,100,98.85,1048,AAD11749.1,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,NA,NA
mnh10,NA,mnh10_05360,1,2445,+,silP,Ag(+)-translocating P-type ATPase SilP,plus,STRESS,METAL,SILVER,SILVER,BLASTX,815,824,98.79,94.61,816,AAD11750.1,Ag(+)-translocating P-type ATPase SilP,NA,NA
mnh10,NA,mnh10_05364,1,1815,+,pcoA,multicopper oxidase PcoA,plus,STRESS,METAL,COPPER,COPPER,EXACTX,605,605,100,100,605,CAA58525.1,multicopper oxidase PcoA,NA,NA
mnh10,NA,mnh10_05365,7,894,+,pcoB,copper-binding protein PcoB,plus,STRESS,METAL,COPPER,COPPER,EXACTX,296,296,100,100,296,CAA58526.1,copper-binding protein PcoB,NA,NA
mnh10,NA,mnh10_05366,1,378,+,pcoC,copper resistance system metallochaperone PcoC,plus,STRESS,METAL,COPPER,COPPER,EXACTX,126,126,100,100,126,CAA58527.1,copper resistance system metallochaperone PcoC,NA,NA
mnh10,NA,mnh10_05367,1,927,+,pcoD,copper resistance inner membrane protein PcoD,plus,STRESS,METAL,COPPER,COPPER,BLASTX,309,309,100,99.68,309,CAA58528.1,copper resistance inner membrane protein PcoD,NA,NA
mnh10,NA,mnh10_05368,1,678,+,pcoR,copper response regulator transcription factor PcoR,plus,STRESS,METAL,COPPER,COPPER,EXACTX,226,226,100,100,226,CAA58529.1,copper response regulator transcription factor PcoR,NA,NA
mnh10,NA,mnh10_05369,1,1398,+,pcoS,copper resistance membrane spanning protein PcoS,plus,STRESS,METAL,COPPER,COPPER,BLASTX,466,466,100,99.14,466,CAA58530.1,copper resistance membrane spanning protein PcoS,NA,NA
mnh10,NA,mnh10_05370,1,432,+,pcoE,copper resistance system metallochaperone PcoE,plus,STRESS,METAL,COPPER,COPPER,BLASTX,144,144,100,94.44,144,CAA58532.1,copper resistance system metallochaperone PcoE,NA,NA
mnh10,NA,mnh10_05381,1,423,+,arsC,glutaredoxin-dependent arsenate reductase,plus,STRESS,METAL,ARSENIC,ARSENATE,EXACTX,141,141,100,100,141,BAA24824.1,glutaredoxin-dependent arsenate reductase,NA,NA
mnh10,NA,mnh10_05382,1,1287,+,arsB,arsenite efflux transporter membrane subunit ArsB,plus,STRESS,METAL,ARSENIC,ARSENITE,EXACTX,429,429,100,100,429,BAA24823.1,arsenite efflux transporter membrane subunit ArsB,NA,NA
mnh10,NA,mnh10_05383,1,1749,+,arsA,arsenite efflux transporter ATPase subunit ArsA,plus,STRESS,METAL,ARSENIC,ARSENITE,EXACTX,583,583,100,100,583,BAA24822.1,arsenite efflux transporter ATPase subunit ArsA,NA,NA
mnh10,NA,mnh10_05384,1,360,+,arsD,arsenite efflux transporter metallochaperone ArsD,plus,STRESS,METAL,ARSENIC,ARSENITE,BLASTX,120,120,100,91.67,120,AAB09625.1,arsenite efflux transporter metallochaperone ArsD,NA,NA
mnh10,NA,mnh10_05385,1,348,+,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,plus,STRESS,METAL,ARSENIC,ARSENIC,EXACTX,116,116,100,100,116,AET17094.1,As(III)-sensing metalloregulatory transcriptional repressor ArsR,NA,NA
mnh10,NA,mnh10_05405,1,567,+,hsp20,small heat shock protein sHSP20,plus,STRESS,HEAT,NA,NA,EXACTX,189,189,100,100,189,CDY80020.1,small heat shock protein sHSP20,NA,NA
mnh10,NA,mnh10_05447,1,858,+,aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,286,286,100,100,286,WP_000557452.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,NA,NA
mnh10,NA,mnh10_05449,1,441,+,catB3,type B-3 chloramphenicol O-acetyltransferase CatB3,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIALX,147,210,70,100,147,WP_000186237.1,type B-3 chloramphenicol O-acetyltransferase CatB3,NA,NA
mnh10,NA,mnh10_05450,1,828,+,blaOXA-1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,276,276,100,100,276,WP_001334766.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,NA,NA
mnh10,NA,mnh10_05451,46,597,+,aac(6')-Ib-cr5,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5,core,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,ALLELEX,184,184,100,100,184,WP_063840321.1,fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5,NA,NA
mnh10,NA,mnh10_05455,1,873,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
mnh10,NA,mnh10_05652,1,834,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
mnh10,NA,mnh10_05653,1,801,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
mnh10,NA,mnh10_05654,1,813,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
mnh07,NA,mnh07_00021,1,1050,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,PARTIALX,350,394,89.09,96.3,351,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh07,NA,mnh07_01220,1,3150,+,oqxB,multidrug efflux RND transporter permease subunit OqxB,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,1050,1050,100,99.9,1050,WP_012967412.1,multidrug efflux RND transporter permease subunit OqxB9,NA,NA
mnh07,NA,mnh07_01221,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,391,391,100,98.98,391,WP_002914189.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,NA,NA
mnh07,NA,mnh07_02882,1,858,+,blaLEN-2,class A beta-lactamase LEN-2,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_023340103.1,class A beta-lactamase LEN-2,NA,NA
mnh07,NA,mnh07_03830,1,1227,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,409,410,99.76,99.27,409,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh07,NA,mnh07_04952,1,411,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,BLASTX,137,139,98.56,99.27,137,WP_114473955.1,fosfomycin resistance glutathione transferase FosA9,NA,NA
mnh07,NA,mnh07_05509,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,BLASTX,300,300,100,99.67,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh06,NA,mnh06_00271,1,858,+,blaSHV-1,broad-spectrum class A beta-lactamase SHV-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_001620095.1,broad-spectrum class A beta-lactamase SHV-1,NA,NA
mnh06,NA,mnh06_01074,1,1230,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,EXACTX,410,410,100,100,410,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh06,NA,mnh06_01747,1,417,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,EXACTX,139,139,100,100,139,WP_004146118.1,FosA5 family fosfomycin resistance glutathione transferase,NA,NA
mnh06,NA,mnh06_02266,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,EXACTX,300,300,100,100,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh06,NA,mnh06_02395,1,1182,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,394,394,100,99.49,394,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh06,NA,mnh06_03197,1,411,+,crcB,fluoride efflux transporter CrcB,plus,STRESS,BIOCIDE,FLUORIDE,FLUORIDE,EXACTX,137,137,100,100,137,CCN31428.1,fluoride efflux transporter CrcB,NA,NA
mnh06,NA,mnh06_04557,1,3150,+,oqxB19,multidrug efflux RND transporter permease subunit OqxB19,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,ALLELEX,1050,1050,100,100,1050,WP_004149399.1,multidrug efflux RND transporter permease subunit OqxB19,NA,NA
mnh06,NA,mnh06_04558,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,EXACTX,391,391,100,100,391,WP_002914189.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,NA,NA
mnh06,NA,mnh06_04956,1,429,+,silE,silver-binding protein SilE,plus,STRESS,METAL,SILVER,SILVER,BLASTX,143,143,100,91.61,143,AAD11743.1,silver-binding protein SilE,NA,NA
mnh06,NA,mnh06_04957,1,1473,+,silS,copper/silver sensor histidine kinase SilS,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,491,491,100,100,491,SPD96882.1,copper/silver sensor histidine kinase SilS,NA,NA
mnh06,NA,mnh06_04958,1,678,+,silR,copper/silver response regulator transcription factor SilR,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,226,226,100,100,226,SPD96883.1,copper/silver response regulator transcription factor SilR,NA,NA
mnh06,NA,mnh06_04959,1,1383,+,silC,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,EXACTX,461,461,100,100,461,SPD96884.1,Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC,NA,NA
mnh06,NA,mnh06_04960,1,351,+,silF,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,117,117,100,99.15,117,KGL71342.1,Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF,NA,NA
mnh06,NA,mnh06_04961,1,1290,+,silB,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,430,430,100,97.91,430,AAD11748.1,Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB,NA,NA
mnh06,NA,mnh06_04962,1,3144,+,silA,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,plus,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,BLASTX,1048,1048,100,98.85,1048,AAD11749.1,Cu(+)/Ag(+) efflux RND transporter permease subunit SilA,NA,NA
mnh06,NA,mnh06_04964,1,2451,+,silP,Ag(+)-translocating P-type ATPase SilP,plus,STRESS,METAL,SILVER,SILVER,BLASTX,817,824,98.79,94.25,818,AAD11750.1,Ag(+)-translocating P-type ATPase SilP,NA,NA
mnh06,NA,mnh06_04968,1,1815,+,pcoA,multicopper oxidase PcoA,plus,STRESS,METAL,COPPER,COPPER,EXACTX,605,605,100,100,605,CAA58525.1,multicopper oxidase PcoA,NA,NA
mnh06,NA,mnh06_04969,7,894,+,pcoB,copper-binding protein PcoB,plus,STRESS,METAL,COPPER,COPPER,EXACTX,296,296,100,100,296,CAA58526.1,copper-binding protein PcoB,NA,NA
mnh06,NA,mnh06_04970,1,378,+,pcoC,copper resistance system metallochaperone PcoC,plus,STRESS,METAL,COPPER,COPPER,EXACTX,126,126,100,100,126,CAA58527.1,copper resistance system metallochaperone PcoC,NA,NA
mnh06,NA,mnh06_04971,1,927,+,pcoD,copper resistance inner membrane protein PcoD,plus,STRESS,METAL,COPPER,COPPER,BLASTX,309,309,100,99.68,309,CAA58528.1,copper resistance inner membrane protein PcoD,NA,NA
mnh06,NA,mnh06_04972,1,678,+,pcoR,copper response regulator transcription factor PcoR,plus,STRESS,METAL,COPPER,COPPER,EXACTX,226,226,100,100,226,CAA58529.1,copper response regulator transcription factor PcoR,NA,NA
mnh06,NA,mnh06_04973,1,1398,+,pcoS,copper resistance membrane spanning protein PcoS,plus,STRESS,METAL,COPPER,COPPER,BLASTX,466,466,100,99.14,466,CAA58530.1,copper resistance membrane spanning protein PcoS,NA,NA
mnh06,NA,mnh06_04974,1,432,+,pcoE,copper resistance system metallochaperone PcoE,plus,STRESS,METAL,COPPER,COPPER,BLASTX,144,144,100,94.44,144,CAA58532.1,copper resistance system metallochaperone PcoE,NA,NA
mnh06,NA,mnh06_04985,1,423,+,arsC,glutaredoxin-dependent arsenate reductase,plus,STRESS,METAL,ARSENIC,ARSENATE,EXACTX,141,141,100,100,141,BAA24824.1,glutaredoxin-dependent arsenate reductase,NA,NA
mnh06,NA,mnh06_04986,1,1287,+,arsB,arsenite efflux transporter membrane subunit ArsB,plus,STRESS,METAL,ARSENIC,ARSENITE,EXACTX,429,429,100,100,429,BAA24823.1,arsenite efflux transporter membrane subunit ArsB,NA,NA
mnh06,NA,mnh06_04987,1,1749,+,arsA,arsenite efflux transporter ATPase subunit ArsA,plus,STRESS,METAL,ARSENIC,ARSENITE,EXACTX,583,583,100,100,583,BAA24822.1,arsenite efflux transporter ATPase subunit ArsA,NA,NA
mnh06,NA,mnh06_04988,1,360,+,arsD,arsenite efflux transporter metallochaperone ArsD,plus,STRESS,METAL,ARSENIC,ARSENITE,BLASTX,120,120,100,91.67,120,AAB09625.1,arsenite efflux transporter metallochaperone ArsD,NA,NA
mnh06,NA,mnh06_04989,1,348,+,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,plus,STRESS,METAL,ARSENIC,ARSENIC,EXACTX,116,116,100,100,116,AET17094.1,As(III)-sensing metalloregulatory transcriptional repressor ArsR,NA,NA
mnh06,NA,mnh06_05006,1,2787,+,clpK,heat shock survival AAA family ATPase ClpK,plus,STRESS,HEAT,NA,NA,BLASTX,929,949,97.89,99.25,929,ASF80763.1,heat shock survival AAA family ATPase ClpK,NA,NA
mnh06,NA,mnh06_05007,1,567,+,hsp20,small heat shock protein sHSP20,plus,STRESS,HEAT,NA,NA,EXACTX,189,189,100,100,189,CDY80020.1,small heat shock protein sHSP20,NA,NA
mnh06,NA,mnh06_05022,1,813,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
mnh06,NA,mnh06_05023,1,801,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100,100,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
mnh06,NA,mnh06_05024,1,834,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
mnh06,NA,mnh06_05026,1,858,+,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
mnh06,NA,mnh06_05031,1,873,+,blaCTX-M-15,extended-spectrum class A beta-lactamase CTX-M-15,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,291,291,100,100,291,WP_000239590.1,extended-spectrum class A beta-lactamase CTX-M-15,NA,NA
mnh06,NA,mnh06_05042,1,642,+,qnrB1,quinolone resistance pentapeptide repeat protein QnrB1,core,AMR,AMR,QUINOLONE,QUINOLONE,ALLELEX,214,214,100,100,214,WP_014386481.1,quinolone resistance pentapeptide repeat protein QnrB1,NA,NA
mnh06,NA,mnh06_05049,1,1197,+,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,399,399,100,100,399,WP_000804064.1,tetracycline efflux MFS transporter Tet(A),NA,NA
mnh06,NA,mnh06_05054,1,435,+,catB3,type B-3 chloramphenicol O-acetyltransferase CatB3,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIALX,145,210,69.05,100,145,WP_000186237.1,type B-3 chloramphenicol O-acetyltransferase CatB3,NA,NA
mnh06,NA,mnh06_05056,1,858,+,aac(3)-IIe,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,286,286,100,100,286,WP_000557452.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,NA,NA
mnh14,NA,mnh14_00028,1,1182,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,394,394,100,99.49,394,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh14,NA,mnh14_01187,1,3150,+,oqxB,multidrug efflux RND transporter permease subunit OqxB,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,1050,1050,100,99.81,1050,WP_016947602.1,multidrug efflux RND transporter permease subunit OqxB25,NA,NA
mnh14,NA,mnh14_01188,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,391,391,100,99.74,391,WP_002914189.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,NA,NA
mnh14,NA,mnh14_02795,1,858,+,blaSHV-11,broad-spectrum class A beta-lactamase SHV-11,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_004176269.1,broad-spectrum class A beta-lactamase SHV-11,NA,NA
mnh14,NA,mnh14_03602,1,1230,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,410,410,100,99.76,410,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh14,NA,mnh14_04699,1,414,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,BLASTX,138,139,99.28,99.28,138,WP_004146118.1,FosA5 family fosfomycin resistance glutathione transferase,NA,NA
mnh14,NA,mnh14_05231,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,EXACTX,300,300,100,100,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh14,NA,mnh14_05476,1,735,+,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,BLASTX,245,245,100,99.59,245,WP_002321849.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),NA,NA
mnh14,NA,mnh14_05478,1,903,+,mph(A),Mph(A) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,EXACTX,301,301,100,100,301,WP_000219391.1,Mph(A) family macrolide 2'-phosphotransferase,NA,NA
mnh14,NA,mnh14_05484,1,660,+,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,220,286,76.92,100,220,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
mnh14,NA,mnh14_05490,1,459,+,blaNDM,NDM family subclass B1 metallo-beta-lactamase,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,PARTIALX,153,270,56.67,98.69,153,WP_023408309.1,subclass B1 metallo-beta-lactamase NDM-5,NA,NA
mnh14,NA,mnh14_05496,1,837,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,BLASTX,279,279,100,99.64,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
